particle,10s,20s,30s,40s,50s,60s
이,1627,1448,1866,1743,2056,1810
는,1523,1457,1480,1513,1269,1208
가,1189,960,1278,1357,1370,1273
에,1099,1084,1278,1219,1367,1270
도,1087,887,1183,1218,1373,1162
을,879,1040,963,902,1030,1088
를,691,634,682,801,741,745
은,569,544,796,686,752,717
ᆫ,466,339,363,449,351,248
에서,315,273,343,230,311,298
의,337,296,366,193,314,232
으로,197,225,251,207,246,252
로,205,157,182,163,176,158
ᆯ,145,132,198,141,173,147
만,129,125,131,135,146,139
한테,92,113,78,123,140,114
보다,78,86,115,84,113,72
까지,57,76,92,93,75,96
요,0,51,152,92,42,149
랑,139,67,71,89,42,14
